"Name","cluster","gene_description"
"ppdD","turquoise","predicted major pilin subunit  K02682 prepilin peptidase dependent protein D"
"pphA","turquoise","serine/threonine-specific protein phosphatase 1 (EC:3.1.3.16)  K07313 serine/threonine protein phosphatase 1 [EC:3.1.3.16]"
"pphB","red","serine/threonine-specific protein phosphatase 2 (EC:3.1.3.16)  K07314 serine/threonine protein phosphatase 2 [EC:3.1.3.16]"
"ppiB","turquoise","peptidyl-prolyl cis-trans isomerase B (rotamase B) (EC:5.2.1.8)  K03768 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]"
"ppiC","turquoise","peptidyl-prolyl cis-trans isomerase C (rotamase C) (EC:5.2.1.8)  K03769 peptidyl-prolyl cis-trans isomerase C [EC:5.2.1.8]"
"ppiD","yellow","periplasmic folding chaperone  has an inactive PPIase domain (EC:5.2.1.8)  K03770 peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]"
"ppiD","yellow","periplasmic folding chaperone  has an inactive PPIase domain (EC:5.2.1.8)  K03770 peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]"
"ppiD","yellow","periplasmic folding chaperone  has an inactive PPIase domain (EC:5.2.1.8)  K03770 peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]"
"ppk","turquoise","polyphosphate kinase  component of RNA degradosome (EC:2.7.4.1)  K00937 polyphosphate kinase [EC:2.7.4.1]"
"pppA","blue","bifunctional prepilin leader peptidase/methylase  K02654 leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]"
"ppsA","turquoise","phosphoenolpyruvate synthase (EC:2.7.9.2)  K01007 pyruvate  water dikinase [EC:2.7.9.2]"
"ppsR","black","bifunctional regulatory protein: PEP synthase kinase and PEP synthase pyrophosphorylase  K09773 hypothetical protein"
"pptA","yellow","4-oxalocrotonate tautomerase (EC:5.3.2.-)  K01821 4-oxalocrotonate tautomerase [EC:5.3.2.6]"
"ppx","blue","exopolyphosphatase (EC:3.6.1.11)  K01524 exopolyphosphatase / guanosine-5'-triphosphate 3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]"
"pqiA","turquoise","paraquat-inducible membrane protein A  K03808 paraquat-inducible protein A"
"pqiB","turquoise","paraquat-inducible protein B  K06192 paraquat-inducible protein B"
"pqqL","turquoise","predicted peptidase  K07263 zinc protease [EC:3.4.24.-]"
"prfA","yellow","peptide chain release factor RF-1  K02835 peptide chain release factor 1"
"prfB","brown","peptide chain release factor RF-2  K02836 peptide chain release factor 2"
"prfC","turquoise","peptide chain release factor RF-3  K02837 peptide chain release factor 3"
"prfH","blue","pseudogene"
"priA","blue","Primosome factor n' (replication factor Y)  K04066 primosomal protein N' (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]"
"priB","brown","primosomal protein N  K02686 primosomal replication protein N"
"priC","turquoise","primosomal replication protein N''  K04067 primosomal replication protein N''"
"priC","turquoise","primosomal replication protein N''  K04067 primosomal replication protein N''"
"prkB","turquoise","predicted phosphoribulokinase  K00855 phosphoribulokinase [EC:2.7.1.19]"
"prlC","turquoise","oligopeptidase A (EC:3.4.24.70)  K01414 oligopeptidase A [EC:3.4.24.70]"
"prmA","blue","methyltransferase for 50S ribosomal subunit protein L11 (EC:2.1.1.-)  K02687 ribosomal protein L11 methyltransferase [EC:2.1.1.-]"
"prmB","yellow","N5-glutamine methyltransferase (EC:2.1.1.-)  K07320 putative adenine-specific DNA-methyltransferase [EC:2.1.1.72]"
"prmC","yellow","N5-glutamine methyltransferase  modifies release factors RF-1 and RF-2 (EC:2.1.1.-)  K02493 release factor glutamine methyltransferase [EC:2.1.1.-]"
"proA","blue","gamma-glutamylphosphate reductase (EC:1.2.1.41)  K00147 glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"proK","blue","tRNA-Pro  K14232 tRNA Pro"
"proQ","brown","RNA chaperone  probable regulator of ProP translation  K03607 ProP effector"
"proS","yellow","prolyl-tRNA synthetase (EC:6.1.1.15)  K01881 prolyl-tRNA synthetase [EC:6.1.1.15]"
"proV","turquoise","glycine betaine transporter subunit  K02000 glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]"
"proW","magenta","glycine betaine transporter subunit  K02001 glycine betaine/proline transport system permease protein"
"proY","blue","proline-specific permease  K11736 proline-specific permease ProY"
"prpB","blue","2-methylisocitrate lyase (EC:4.1.3.30)  K03417 methylisocitrate lyase [EC:4.1.3.30]"
"prpC","blue","2-methylcitrate synthase (EC:2.3.3.1)  K01659 2-methylcitrate synthase [EC:2.3.3.5]"
"prpC","blue","2-methylcitrate synthase (EC:2.3.3.1)  K01659 2-methylcitrate synthase [EC:2.3.3.5]"
"prpD","turquoise","2-methylcitrate dehydratase (EC:4.2.1.79)  K01720 2-methylcitrate dehydratase [EC:4.2.1.79]"
"prpE","yellow","propionate--CoA ligase  K01908 propionyl-CoA synthetase [EC:6.2.1.17]"
"prpE","yellow","propionate--CoA ligase  K01908 propionyl-CoA synthetase [EC:6.2.1.17]"
"prpR","blue","propionate catabolism operon regulatory protein  K02688 transcriptional regulator  propionate catabolism operon regulatory protein"
"prs","yellow","phosphoribosylpyrophosphate synthase (EC:2.7.6.1)  K00948 ribose-phosphate pyrophosphokinase [EC:2.7.6.1]"
"psaA","turquoise","pseudogene"
"psiE","turquoise","phosphate starvation inducible protein  K13256 protein PsiE"
"psiF","grey","conserved protein  PsiF family  pho regulon"
"pspA","blue","regulatory protein for phage-shock-protein operon  K03969 phage shock protein A"
"pspB","magenta","DNA-binding transcriptional regulator of psp operon  K03970 phage shock protein B"
"pspC","turquoise","DNA-binding transcriptional activator  K03973 phage shock protein C"
"pspD","turquoise","peripheral inner membrane phage-shock protein  K03971 phage shock protein D"
"pspE","grey","thiosulfate:cyanide sulfurtransferase (rhodanese) (EC:2.8.1.1)  K03972 phage shock protein E"
"pspF","blue","DNA-binding transcriptional activator  K03974 psp operon transcriptional activator"
"pspF","blue","DNA-binding transcriptional activator  K03974 psp operon transcriptional activator"
"pspG","blue","phage shock protein G"
"psrD","brown","novel Novel sRNA  function unknown"
"psrO","turquoise","novel sRNA  function unknown"
"pssA","pink","phosphatidylserine synthase (CDP-diacylglycerol-serine O-phosphatidyltransferase) (EC:2.7.8.8)  K00998 CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8]"
"pstA","green","phosphate transporter subunit  K02038 phosphate transport system permease protein"
"pstB","blue","phosphate transporter subunit (EC:3.6.3.27)  K02036 phosphate transport system ATP-binding protein [EC:3.6.3.27]"
"pstC","turquoise","phosphate transporter subunit  K02037 phosphate transport system permease protein"
"pstS","brown","periplasmic phosphate binding protein  high-affinity  K02040 phosphate transport system substrate-binding protein"
"psuG","turquoise","pseudouridine 5'-phosphate glycosidase  K16329 pseudouridine-5'-phosphate glycosidase [EC:3.2.-.-]"
"psuK","yellow","pseudouridine kinase  K16328 pseudouridine kinase [EC:2.7.1.83]"
"psuT","brown","predicted nucleoside transporter  K16324 putative pseudouridine transporter"
"pth","turquoise","peptidyl-tRNA hydrolase (EC:3.1.1.29)  K01056 peptidyl-tRNA hydrolase  PTH1 family [EC:3.1.1.29]"
"ptrA","red","protease III (EC:3.4.24.55)  K01407 protease III [EC:3.4.24.55]"
"ptrB","blue","protease II (EC:3.4.21.83)  K01354 oligopeptidase B [EC:3.4.21.83]"
"ptsA","turquoise","fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component (EC:2.7.1.69 2.7.3.9)  K08483 phosphotransferase system  enzyme I  PtsI [EC:2.7.3.9] K11189 phosphocarrier protein K11201 PTS system  fructose-specific IIA-like component [EC:2.7.1.69]"
"ptsH","brown","phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)  K02784 phosphocarrier protein HPr"
"ptsN","turquoise","sugar-specific enzyme IIA component of PTS (EC:2.7.1.69)  K02806 PTS system  nitrogen regulatory IIA component [EC:2.7.1.69]"
"ptsP","turquoise","fused PTS enzyme: PEP-protein phosphotransferase (enzyme I)/GAF domain containing protein (EC:2.7.3.9)  K08484 phosphotransferase system  enzyme I  PtsP [EC:2.7.3.9]"
"ptwF","turquoise","pseudogene"
"purA","brown","adenylosuccinate synthetase (EC:6.3.4.4)  K01939 adenylosuccinate synthase [EC:6.3.4.4]"
"purB","red","adenylosuccinate lyase (EC:4.3.2.2)  K01756 adenylosuccinate lyase [EC:4.3.2.2]"
"purC","blue","phosphoribosylaminoimidazole-succinocarboxamide synthetase (EC:6.3.2.6)  K01923 phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]"
"purD","blue","phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase (EC:6.3.4.13)  K01945 phosphoribosylamine--glycine ligase [EC:6.3.4.13]"
"purE","pink","N5-carboxyaminoimidazole ribonucleotide mutase (EC:4.1.1.21)  K01588 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]"
"purF","blue","amidophosphoribosyltransferase (EC:2.4.2.14)  K00764 amidophosphoribosyltransferase [EC:2.4.2.14]"
"purH","turquoise","fused IMP cyclohydrolase/phosphoribosylaminoimidazolecarboxamide formyltransferase (EC:2.1.2.3 3.5.4.10)  K00602 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]"
"purK","blue","N5-carboxyaminoimidazole ribonucleotide synthase (EC:4.1.1.21)  K01589 5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]"
"purL","turquoise","phosphoribosylformyl-glycineamide synthetase (EC:6.3.5.3)  K01952 phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]"
"purM","turquoise","phosphoribosylaminoimidazole synthetase (EC:6.3.3.1)  K01933 phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]"
"purN","turquoise","phosphoribosylglycinamide formyltransferase 1 (EC:2.1.2.2)  K11175 phosphoribosylglycinamide formyltransferase 1 [EC:2.1.2.2]"
"purP","blue","adenine permease  high affinity  adenine:H+ symporter  K06901 putative MFS transporter  AGZA family  xanthine/uracil permease"
"purR","yellow","DNA-binding transcriptional repressor  hypoxanthine-binding  K03604 LacI family transcriptional regulator  purine nucleotide synthesis repressor"
"purT","green","phosphoribosylglycinamide formyltransferase 2 (EC:2.7.2.1)  K08289 phosphoribosylglycinamide formyltransferase 2 [EC:2.1.2.2]"
"purU","blue","formyltetrahydrofolate hydrolase (EC:3.5.1.10)  K01433 formyltetrahydrofolate deformylase [EC:3.5.1.10]"
"putP","turquoise","proline:sodium symporter  K11928 sodium/proline symporter"
"puuA","blue","gamma-Glu-putrescine synthase  K09470 gamma-glutamylputrescine synthase [EC:6.3.1.11]"
"puuB","blue","gamma-Glu-putrescine oxidase  FAD/NAD(P)-binding  K09471 gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
"puuC","brown","gamma-Glu-gamma-aminobutyraldehyde dehydrogenase  NAD(P)H-dependent (EC:1.2.1.3)  K09472 gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [EC:1.2.1.-]"
"puuD","turquoise","gamma-Glu-GABA hydrolase  K09473 gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]"
"puuE","blue","GABA aminotransferase  PLP-dependent (EC:2.6.1.19)  K00823 4-aminobutyrate aminotransferase [EC:2.6.1.19]"
"puuP","green","putrescine importer  K14052 putrescine importer"
"puuR","turquoise","DNA-binding transcriptional repressor for the puu divergon  K14056 HTH-type transcriptional regulator  repressor for puuD"
"pykA","yellow","pyruvate kinase II (EC:2.7.1.40)  K00873 pyruvate kinase [EC:2.7.1.40]"
"pykF","brown","pyruvate kinase I (EC:2.7.1.40)  K00873 pyruvate kinase [EC:2.7.1.40]"
"pyrB","turquoise","aspartate carbamoyltransferase  catalytic subunit (EC:2.1.3.2)  K00609 aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]"
"pyrC","turquoise","dihydro-orotase (EC:3.5.2.3)  K01465 dihydroorotase [EC:3.5.2.3]"
"pyrD","blue","dihydro-orotate oxidase  FMN-linked (EC:1.3.5.2)  K00254 dihydroorotate dehydrogenase [EC:1.3.5.2]"
"pyrE","turquoise","orotate phosphoribosyltransferase (EC:2.4.2.10)  K00762 orotate phosphoribosyltransferase [EC:2.4.2.10]"
"pyrF","red","orotidine-5'-phosphate decarboxylase (EC:4.1.1.23)  K01591 orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]"
"pyrG","brown","CTP synthetase (EC:6.3.4.2)  K01937 CTP synthase [EC:6.3.4.2]"
"pyrH","yellow","uridylate kinase (EC:2.7.4.-)  K09903 uridylate kinase [EC:2.7.4.22]"
"pyrL","blue","pyrBI operon leader peptide"
"qorA","blue","quinone oxidoreductase  NADPH-dependent (EC:1.6.5.5)  K00344 NADPH2:quinone reductase [EC:1.6.5.5]"
"qorB","yellow","NAD(P)H:quinone oxidoreductase"
"qseB","blue","quorum sensing DNA-binding response regulator in two-component regulatory system with QseC  K07666 two-component system  OmpR family  response regulator QseB"
"qseB","blue","quorum sensing DNA-binding response regulator in two-component regulatory system with QseC  K07666 two-component system  OmpR family  response regulator QseB"
"queA","yellow","S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC:5.-.-.-)  K07568 S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]"
"queC","turquoise","7-cyano-7-deazaguanine (preQ0) synthase  queuosine biosynthesis  K06920 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]"
"queD","yellow","6-pyruvoyl tetrahydrobiopterin synthase (PTPS)  K01737 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]"
"queF","turquoise","7-cyano-7-deazaguanine reductase (NADPH-dependent) (EC:1.7.1.-)  K06879 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]"
"quuD","turquoise","DLP12 prophage  predicted antitermination protein"
"quuQ","turquoise","Qin prophage  predicted antitermination protein Q"
"racC","blue","Rac prophage  predicted protein"
"racR","blue","Rac prophage  predicted DNA-binding transcriptional regulator"
"raiA","yellow","cold shock protein associated with 30S ribosomal subunit  K05809 ribosome-associated inhibitor A"
"ralR","turquoise","Rac prophage  restriction alleviation protein"
"ralR","turquoise","Rac prophage  restriction alleviation protein"
"rapA","turquoise","RNA polymerase remodeling/recycling factor ATPase  RNA polymerase-associated  ATP-dependent RNA translocase (EC:3.6.1.-)  K03580 ATP-dependent helicase HepA [EC:3.6.4.-]"
"rapA","turquoise","RNA polymerase remodeling/recycling factor ATPase  RNA polymerase-associated  ATP-dependent RNA translocase (EC:3.6.1.-)  K03580 ATP-dependent helicase HepA [EC:3.6.4.-]"
"rapA","turquoise","RNA polymerase remodeling/recycling factor ATPase  RNA polymerase-associated  ATP-dependent RNA translocase (EC:3.6.1.-)  K03580 ATP-dependent helicase HepA [EC:3.6.4.-]"
"rapA","turquoise","RNA polymerase remodeling/recycling factor ATPase  RNA polymerase-associated  ATP-dependent RNA translocase (EC:3.6.1.-)  K03580 ATP-dependent helicase HepA [EC:3.6.4.-]"
"rarA","yellow","DNA-dependent ATPase involved in processing recombination intermediates at replication forks  K07478 putative ATPase"
"rarD","blue","predicted chloramphenical resistance permease  K05786 chloramphenicol-sensitive protein RarD"
"ravA","turquoise","fused predicted transcriptional regulator: sigma54 activator protein/conserved protein  K03924 MoxR-like ATPase [EC:3.6.3.-]"
"rbbA","brown","fused ribosome-associated ATPase: ATP-binding protein/ATP-binding protein/predicted membrane protein  K13926 ribosome-dependent ATPase"
"rbfA","yellow","30s ribosome binding factor  K02834 ribosome-binding factor A"
"rbn","brown","RNase BN  tRNA processing enzyme  K00784 ribonuclease Z [EC:3.1.26.11]"
"rbsA","grey","fused D-ribose transporter subunits of ABC superfamily: ATP-binding components  K10441 ribose transport system ATP-binding protein [EC:3.6.3.17]"
"rbsB","turquoise","D-ribose transporter subunit  K10439 ribose transport system substrate-binding protein"
"rbsC","turquoise","D-ribose transporter subunit  K10440 ribose transport system permease protein"
"rbsD","turquoise","predicted cytoplasmic sugar-binding protein  K06726 D-ribose pyranase [EC:5.-.-.-]"
"rbsK","brown","ribokinase (EC:2.7.1.15)  K00852 ribokinase [EC:2.7.1.15]"
"rbsR","grey","DNA-binding transcriptional repressor of ribose metabolism  K02529 LacI family transcriptional regulator"
"rcnR","turquoise","DNA-binding transcriptional repressor of rcnA"
"rcnR","turquoise","DNA-binding transcriptional repressor of rcnA"
"rcsA","blue","DNA-binding transcriptional activator  co-regulator with RcsB  K07781 LuxR family transcriptional regulator  capsular biosynthesis positive transcription factor"
"rcsB","blue","DNA-binding response regulator in two-component regulatory system with RcsC and YojN  K07687 two-component system  NarL family  captular synthesis response regulator RcsB"
"rcsD","red","phosphotransfer intermediate protein in two-component regulatory system with RcsBC  K07676 two-component system  NarL family  sensor histidine kinase RcsD [EC:2.7.13.3]"
"rcsF","red","predicted outer membrane protein  signal  K06080 RcsF protein"
"rdgB","grey","dITP/XTP pyrophosphatase (EC:3.6.1.-)  K02428 dITP/XTP pyrophosphatase [EC:3.6.1.19]"
"rdgC","turquoise","nucleoid-associated ssDNA and dsDNA binding protein  competitive inhibitor of RecA function  K03554 recombination associated protein RdgC"
"rdgC","turquoise","nucleoid-associated ssDNA and dsDNA binding protein  competitive inhibitor of RecA function  K03554 recombination associated protein RdgC"
"rdgC","turquoise","nucleoid-associated ssDNA and dsDNA binding protein  competitive inhibitor of RecA function  K03554 recombination associated protein RdgC"
"rdlA","brown","sRNA antisense regulator affects LdrA translation  proposed addiction module in LDR-A repeat  with toxic peptide LdrA"
"rdlD","turquoise","sRNA antisense regulator affects LdrD translation  proposed addiction module in LDR-D repeat  with toxic peptide LdrD"
"recC","turquoise","exonuclease V (RecBCD complex)  gamma chain (EC:3.1.11.5)  K03583 exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]"
"recD","blue","exonuclease V (RecBCD complex)  alpha chain (EC:3.1.11.5)  K03581 exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]"
"recD","blue","exonuclease V (RecBCD complex)  alpha chain (EC:3.1.11.5)  K03581 exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]"
"recF","blue","gap repair protein  K03629 DNA replication and repair protein RecF"
"recG","turquoise","ATP-dependent DNA helicase (EC:3.6.1.-)  K03655 ATP-dependent DNA helicase RecG [EC:3.6.4.12]"
"recJ","green","ssDNA exonuclease  5' --&gt  3'-specific (EC:3.1.-.-)  K07462 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]"
"recN","blue","recombination and repair protein  K03631 DNA repair protein RecN (Recombination protein N)"
"recQ","blue","ATP-dependent DNA helicase (EC:3.6.1.-)  K03654 ATP-dependent DNA helicase RecQ [EC:3.6.4.12]"
"recT","brown","Rac prophage  recombination and repair protein  K07455 recombination protein RecT"
"recX","turquoise","regulatory protein for RecA  K03565 regulatory protein"
"relA","brown","(p)ppGpp synthetase I/GTP pyrophosphokinase (EC:2.7.6.5)  K00951 GTP pyrophosphokinase [EC:2.7.6.5]"
"relE","turquoise","Qin prophage  toxin of the RelE-RelB toxin-antitoxin system  K06218 RelE protein"
"renD","turquoise","pseudogene"
"renD","turquoise","pseudogene"
"rfaH","turquoise","DNA-binding transcriptional antiterminator  K05785 transcriptional antiterminator RfaH"
"rfbA","blue","glucose-1-phosphate thymidylyltransferase (EC:2.7.7.24)  K00973 glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
"rfbB","brown","dTDP-glucose 4 6 dehydratase  NAD(P)-binding (EC:4.2.1.46)  K01710 dTDP-glucose 4 6-dehydratase [EC:4.2.1.46]"
"rfbC","yellow","dTDP-4-deoxyrhamnose-3 5-epimerase (EC:5.1.3.13)  K01790 dTDP-4-dehydrorhamnose 3 5-epimerase [EC:5.1.3.13]"
"rfbC","yellow","dTDP-4-deoxyrhamnose-3 5-epimerase (EC:5.1.3.13)  K01790 dTDP-4-dehydrorhamnose 3 5-epimerase [EC:5.1.3.13]"
"rfbC","yellow","dTDP-4-deoxyrhamnose-3 5-epimerase (EC:5.1.3.13)  K01790 dTDP-4-dehydrorhamnose 3 5-epimerase [EC:5.1.3.13]"
"rfbC","yellow","dTDP-4-deoxyrhamnose-3 5-epimerase (EC:5.1.3.13)  K01790 dTDP-4-dehydrorhamnose 3 5-epimerase [EC:5.1.3.13]"
"rfbD","blue","dTDP-4-dehydrorhamnose reductase subunit  NAD(P)-binding  of dTDP-L-rhamnose synthase (EC:1.1.1.133)  K00067 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"rffG","turquoise","dTDP-glucose 4 6-dehydratase (EC:4.2.1.46)  K01710 dTDP-glucose 4 6-dehydratase [EC:4.2.1.46]"
"rffH","turquoise","glucose-1-phosphate thymidylyltransferase (EC:2.7.7.24)  K00973 glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]"
"rhaA","blue","L-rhamnose isomerase (EC:5.3.1.14)  K01813 L-rhamnose isomerase [EC:5.3.1.14]"
"rhaB","turquoise","rhamnulokinase (EC:2.7.1.5)  K00848 rhamnulokinase [EC:2.7.1.5]"
"rhaD","brown","rhamnulose-1-phosphate aldolase (EC:4.1.2.19)  K01629 rhamnulose-1-phosphate aldolase [EC:4.1.2.19]"
"rhaR","green","DNA-binding transcriptional activator for rhaSR  L-rhamnose-binding  K02854 AraC family transcriptional regulator  L-rhamnose operon transcriptional activator RhaR"
"rhaS","red","DNA-binding transcriptional activator for rhaBAD and rhaT  L-rhamnose-binding  K02855 AraC family transcriptional regulator  L-rhamnose operon regulatory protein RhaS"
"rhaS","red","DNA-binding transcriptional activator for rhaBAD and rhaT  L-rhamnose-binding  K02855 AraC family transcriptional regulator  L-rhamnose operon regulatory protein RhaS"
"rhlB","yellow","ATP-dependent RNA helicase  K03732 ATP-dependent RNA helicase RhlB [EC:3.6.4.13]"
"rhlE","turquoise","ATP-dependent RNA helicase  K11927 ATP-dependent RNA helicase RhlE [EC:3.6.4.13]"
"rhmA","green","2-keto-3-deoxy-L-rhamnonate aldolase  K12660 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]"
"rhmD","blue","L-rhamnonate dehydratase  K12661 L-rhamnonate dehydratase [EC:4.2.1.90]"
"rhmR","turquoise","predicted DNA-binding transcriptional regulator for the rhm operon"
"rhmT","green","predicted L-rhamnonate transporter"
"rhsA","turquoise","rhsA element core protein RshA  putative neighboring cell growth inhibitor"
"rhsB","turquoise","rhsB element core protein RshB  putative neighboring cell growth inhibitor"
"rhsC","yellow","rhsC element core protein RshC"
"rhsD","yellow","rhsD element protein"
"rhsE","yellow","pseudogene"
"rhtA","turquoise","threonine and homoserine efflux system  K11939 inner membrane transporter RhtA"
"rhtB","blue","homoserine  homoserine lactone and S-methyl-methionine efflux pump  K05834 homoserine/homoserine lactone efflux protein"
"rhtC","green","threonine efflux pump  K05835 threonine efflux protein"
"ribC","blue","riboflavin synthase  alpha subunit (EC:2.5.1.9)  K00793 riboflavin synthase [EC:2.5.1.9]"
"ribD","yellow","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase (EC:1.1.1.193 3.5.4.26)  K11752 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"
"ribD","yellow","fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase (EC:1.1.1.193 3.5.4.26)  K11752 diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]"
"ribE","blue","riboflavin synthase beta chain (EC:2.5.1.9)  K00794 6 7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
"ribF","turquoise","bifunctional riboflavin kinase/FAD synthetase (EC:2.7.1.26 2.7.7.2)  K11753 riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]"
"rihA","green","ribonucleoside hydrolase 1 (EC:3.2.2.-)  K01250 pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]"
"rihB","turquoise","ribonucleoside hydrolase 2 (EC:3.2.2.-)  K10213 ribosylpyrimidine nucleosidase [EC:3.2.2.8]"
"rihC","blue","ribonucleoside hydrolase 3 (EC:3.2.2.-)  K12700 non-specific riboncleoside hydrolase [EC:3.2.-.-]"
"rihC","blue","ribonucleoside hydrolase 3 (EC:3.2.2.-)  K12700 non-specific riboncleoside hydrolase [EC:3.2.-.-]"
"rihC","blue","ribonucleoside hydrolase 3 (EC:3.2.2.-)  K12700 non-specific riboncleoside hydrolase [EC:3.2.-.-]"
"rimJ","turquoise","ribosomal-protein-S5-alanine N-acetyltransferase (EC:2.3.1.128)  K03790 ribosomal-protein-alanine N-acetyltransferase [EC:2.3.1.128]"
"rimK","turquoise","ribosomal protein S6 modification protein  K05844 ribosomal protein S6 modification protein"
"rimL","turquoise","ribosomal-protein-L7/L12-serine acetyltransferase (EC:2.3.1.-)  K03817 ribosomal-protein-serine acetyltransferase [EC:2.3.1.-]"
"rimM","brown","16S rRNA processing protein  K02860 16S rRNA processing protein RimM"
"rimO","brown","ribosomal protein S12 methylthiotransferase  radical SAM superfamily  K14441 ribosomal protein S12 methylthiotransferase [EC:2.-.-.-]"
"rimP","brown","ribosome maturation factor for 30S subunits  K09748 ribosome maturation factor RimP"
"rlmA","grey","23S rRNA m(1)G745 methyltransferase  SAM-dependent (EC:2.1.1.187)  K00563 23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]"
"rlmB","turquoise","23S rRNA mG2251 2'-O-ribose methyltransferase  SAM-dependent (EC:2.1.1.-)  K03218 23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]"
"rlmE","brown","23S rRNA U2552 2'-O-ribose methyltransferase  SAM-dependent (EC:2.1.1.-)  K02427 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166]"
"rlmF","blue","23S rRNA m(6)A1618 methyltransferase  SAM-dependent  K06970 23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]"
"rlmG","brown","23S rRNA m(2)G1835 methyltransferase  SAM-dependent  K11391 23S rRNA (guanine1835-N2)-methyltransferase [EC:2.1.1.174]"
"rlmH","brown","23S rRNA m(3)Psi1915 pseudouridine methyltransferase  SAM-dependent  K00783 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177]"
"rlmI","turquoise","23S rRNA m(5)C1962 methyltransferase  SAM-dependent  K06969 23S rRNA (cytosine1962-C5)-methyltransferase [EC:2.1.1.191]"
"rlmL","red","fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase  SAM-dependent  K12297 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]"
"rlmM","turquoise","23S rRNA C2498 2'-O-ribose methyltransferase  SAM-dependent  K06968 23S rRNA (cytidine2498-2'-O)-methyltransferase [EC:2.1.1.186]"
"rlmN","yellow","dual specificity 23S rRNA m(2)A2503  tRNA m(2)A37 methyltransferase  SAM-dependent  K06941 23S rRNA (adenine2503-C2)-methyltransferase [EC:2.1.1.192]"
"rlpA","turquoise","septal ring protein  suppressor of prc  minor lipoprotein  K03642 rare lipoprotein A"
"rlpA","turquoise","septal ring protein  suppressor of prc  minor lipoprotein  K03642 rare lipoprotein A"
"rluA","blue","dual specificity 23S rRNA pseudouridine(746)  tRNA pseudouridine(32) synthase  SAM-dependent (EC:4.2.1.70)  K06177 tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]"
